species_1,species_2,16S,gyrB,icd,napA,narG,narK,nirB,nirK,nirS,norB
aaci,atu,2028.5,2178.0,862.5,,,,,,,925.5
aaci,atw,1996.5,2451.0,2277.0,1695.0,,945.0,,,,1017.0
aaci,ava,1966.0,1590.0,777.0,,,,,,,
aaci,axy,1965.5,2431.5,909.0,1675.5,,946.5,,,,1936.5
aaci,aza,2015.0,2406.0,2292.0,,,876.0,,,,997.5
aaci,azc,1979.0,2499.0,829.5,1714.5,,769.5,,,,
aaci,azd,2047.0,2440.5,2359.5,1684.5,,918.0,,,,994.5
aaci,azi,2031.5,2418.0,897.0,1702.5,,907.5,,,,999.0
aaci,azl,2037.5,2521.5,862.5,,,,,,,981.0
aaci,azm,2063.0,2532.0,858.0,1602.0,,982.5,,,,
aaci,azo,2034.5,2515.5,2329.5,,,825.0,,,,1032.0
aaci,azq,2050.5,2548.5,898.5,1693.5,,990.0,,,,1017.0
aaci,azr,2042.5,2482.5,2344.5,,,864.0,,,,1015.5
aaci,azt,2086.0,2532.0,1182.0,,,,,,,999.0
aaci,azz,2117.0,2535.0,1261.5,,,915.0,,,,1002.0
aaci,babb,2033.5,2283.0,796.5,1611.0,,741.0,,,,913.5
aaci,babr,2033.5,2283.0,798.0,1611.0,,741.0,,,,913.5
aaci,bac,1977.0,2385.0,2416.5,1695.0,,912.0,,,,
aaci,bacb,2154.5,1882.5,721.5,1297.5,,721.5,,,,
aaci,bacl,2135.5,1780.5,670.5,1296.0,,738.0,,,,
aaci,baco,2124.0,1938.0,687.0,1437.0,,805.5,,,,
aaci,bacp,2156.0,1902.0,715.5,1311.0,,717.0,,,,
aaci,bacs,2154.5,1918.5,712.5,1305.0,,703.5,,,,
aaci,bacy,2149.5,1777.5,670.5,1288.5,,735.0,,,,
aaci,bae,2155.5,1780.5,655.5,1227.0,,684.0,,,,
aaci,bag,2140.0,1932.0,724.5,1387.5,,703.5,,,,
aaci,bage,2021.5,2049.0,723.0,1422.0,,855.0,,,,
aaci,bah,2047.0,1521.0,591.0,948.0,,546.0,,,,
aaci,bai,2050.0,1522.5,591.0,1093.5,,546.0,,,,
aaci,bao,2115.0,1902.0,711.0,1321.5,,729.0,,,,
aaci,bapi,2066.5,1945.5,651.0,1347.0,,874.5,,,,
aaci,baq,2116.5,1878.0,721.5,1326.0,,741.0,,,,
aaci,bar,2046.5,1522.5,591.0,948.0,,546.0,,,,
aaci,bast,2337.5,2961.0,834.0,,,,,,,
aaci,bat,2054.0,1522.5,601.5,1093.5,,546.0,,,,
